ApplicationId,reports,income,active,expenditure
105,0,3.92,0,741.5042
106,0,3.625,6,106.1692
107,0,2.48,0,271.4675
108,0,9.9999,17,635.0508
109,0,10.0393,18,182.825
110,0,2.95,17,89.37083
111,0,5,5,1011.333
112,0,2.4,29,227.3683
113,0,13.5,9,115.4167
1327,3,4,5,0
115,1,3.9,4,297.9717
116,1,2,3,101.2625
117,0,2.15,4,56.69417
118,0,3,2,77.35667
119,0,4.3,4,122.515
120,4,9.9999,5,0
121,0,2.5,3,13.4025
122,0,3,11,127.5342
123,0,2.6,3,8.333333
124,1,1.66,2,78.42834
125,0,4.5,6,11.16667
126,0,5,16,131.8783
127,0,1.74,11,277.9892
128,0,1.875,1,126.0225
129,0,3,0,238.8558
130,5,4.2,19,0
1376,0,4.9,1,0
132,0,2.13,4,37.08333
133,1,1.7,11,0
134,0,1.68,2,156.5833
135,0,2.64,1,0
136,0,1.968,2,9.753333
137,0,3.3,8,108.3967
138,0,1.5896,16,271.5533
139,0,3.6,14,53.30167
140,0,3,6,282.5633
141,0,3.8,4,263.3275
1382,0,3.36,4,6.5175
143,2,2.3204,3,0
144,0,7.8,2,43.03917
145,0,2.5,9,73.7975
146,0,1.5,7,15.41667
147,0,3.5822,10,313.3525
148,1,4,13,59.19417
149,3,6.72,27,175.9975
1346,2,4.3,15,129.3933
151,0,3.5,5,30.36917
1375,1,3.95,4,0
153,5,4,7,0
154,0,2.4,1,461.26
155,0,2.7,3,199.7333
156,0,6.6,7,38.71416
157,0,2.7,0,92.26334
1335,0,4.1,0,145.3792
159,0,7.701,9,400.9117
160,0,2.8,0,138.7133
161,0,3.12,6,110.3033
162,0,2.3,2,54.64667
163,0,3.67,3,4.583333
164,0,6.5,6,0
165,0,2.56,2,320.5167
166,0,3.5,9,197.9233
167,0,3.24,19,68.87083
168,0,3.48,5,148.26
169,0,2.938,0,68.53333
170,1,2.475,5,0
171,5,3.12,7,0
172,0,2.5,0,0
173,0,3,4,121.5558
174,0,6,5,86.22667
175,0,2.6,6,105.095
176,0,3.9,7,58.99083
177,1,2.5,6,0
178,1,3.3,3,0
179,0,5.905,2,123.8917
1342,1,7.8,18,78.54166
181,3,2.06,8,0
182,0,5.6965,26,38.0625
183,0,2.16,0,46.14167
184,3,4.6,3,0
185,0,3.5,9,265.0142
1378,0,2.55,0,74.72667
187,0,1.7472,2,107.7642
188,0,1.95,2,6.5
189,0,5,10,209.0558
190,0,2.8896,0,193.0675
191,0,2.7,8,144.3842
192,0,4,10,358.9725
193,0,2.3,0,59.1475
194,0,2.4,8,0
195,0,2.6,8,0
196,0,2.4,4,465.195
1365,0,2.52,3,142.2425
198,0,1.56,1,501.8025
199,0,2.4,6,88.5925
200,0,2,2,282.8758
201,1,2.58,12,361.1617
202,0,3.15,3,150.1767
203,0,2.3,5,76.24416
204,0,4.65,11,58.24583
205,0,3.12,3,88.23333
206,0,2,14,7.083333
207,6,2.55,13,0
208,1,2.46,11,289.0442
1380,0,3.8,1,102.9767
210,0,2.6372,12,13.91667
211,1,7,22,641.4216
212,0,2.8,11,0
213,0,3.1475,0,0
214,1,6,2,0
215,0,3.25,17,84.275
216,0,4.32,0,132.8508
217,0,2.5,21,159.595
218,0,3,8,135.045
219,0,3.5,2,250.5208
220,0,4.56,11,188.6208
221,0,2.76,1,23.25
222,0,2.535,9,214.065
223,7,3.2388,16,0
224,2,3.84,2,0
225,0,1.32,2,42.63083
226,0,3.9,3,0
227,0,2.04,11,0
228,1,7.2904,14,474.5
229,0,7.5,8,304.3817
230,0,3.2604,6,78.75083
231,0,1.632,5,238.3275
1369,0,8,0,311.1425
233,0,2.2,16,77.04667
234,0,5,0,120.4033
235,0,3,8,156.5725
236,0,2,1,10.58333
237,0,1.54,2,114.8158
238,0,1.5,0,0
239,0,3,0,179.7658
1357,1,5,7,625.3675
241,0,4.7232,0,84.9025
242,0,1.5,6,0
243,0,2.3,0,67.66666
244,0,1.6,0,111.6925
245,0,2.2,1,257.3017
246,0,4.32,11,675.7708
247,0,2.6,7,0
248,0,1.6752,0,245.3308
249,0,2.8725,11,13.33333
250,0,2.6,2,149.545
251,0,2.9,20,253.3658
252,0,2.65,9,20.47917
253,0,1.9,9,41.81667
254,0,2.95,19,118.7133
255,0,3.12,6,225.4592
256,0,4.1125,23,101.2008
257,1,6,46,0
258,0,2,19,10.42
259,2,3.38,15,0
260,0,3.5,0,7.166667
261,0,2.6,16,12.08333
262,11,3.5,27,0
263,1,2.8,11,146.8625
264,0,5.9,11,324.6183
265,0,5.4,7,268.7242
266,0,2.8,3,249.1658
267,0,3.9,6,50.08333
268,0,3.4,4,87.63667
269,0,2.08,0,203.3667
270,0,2.5,13,105.125
271,1,1.95,4,50.17833
272,0,2.1,6,327.11
273,0,3,6,0
1328,1,3.2,8,175.1367
275,4,2.6,14,0
276,0,3.067,0,408.0825
277,0,2.8,11,33.57083
278,0,4.8,13,404.49
279,0,4.74,0,0
280,0,2.8,14,80.45084
281,0,4.2,13,8.333333
282,0,4,9,240.2775
283,4,1.65,5,0
284,0,4.3,2,88.94667
285,0,6.4532,13,0
286,1,3,7,11.00417
287,0,1.75,3,281.8067
288,0,1.8,6,0
289,0,2.15,1,17.17167
1377,0,7.88,9,0
291,2,2.6,9,0
292,0,2.42,10,119.625
293,0,2.8,6,86.54667
294,0,3.64,1,94.11833
295,1,9.9999,3,832.2433
296,0,1.95,1,0
297,2,6.5,13,762.3784
298,0,3.805,7,26
299,0,2.15,16,227.6017
300,2,4,8,379.8658
301,0,3.1,0,620.055
302,0,4.0104,0,0
303,0,4.58,7,48.615
304,0,1.8,2,195.4508
305,4,1.7095,2,0
306,0,2.2593,0,122.1917
307,0,3.5,0,384.8992
308,0,9.9999,21,129.3333
309,0,1.5678,0,0
310,0,2.9623,13,4.583333
311,1,2.7,13,210.6475
312,0,2.16,7,198.5483
313,0,4,0,3.166667
314,5,4.5,11,0
315,0,1.8,13,0
316,0,2.75,3,153.7267
317,0,2.42,25,34.15583
318,0,2.25,0,0
319,0,1.2,0,0
320,2,2.6,3,0
321,0,1.5,0,0
322,0,2.1,19,344.1808
323,0,3.24,16,497.7058
324,0,2.22,0,0
325,2,4.9,3,0
326,0,2.3,12,87.105
327,2,3.3,17,0
328,3,2.5,18,0
329,0,2.205,10,80.86833
330,1,2.4,18,143.3467
331,0,2.7,7,105.2833
1381,0,3.7,2,583.7783
333,5,2.12,10,0
1334,0,6.2,11,950.8641
335,0,2.5,2,105.9617
336,1,2,3,0
337,0,2.4,11,0
338,0,4.03,2,137.0717
339,0,3,0,0
340,0,2.9,8,0.3125
341,0,1.99,5,100.1433
342,0,1.92,9,320.6758
343,1,5,6,683.4283
344,2,2.16,8,0
345,0,2.2,3,145.6958
346,0,2.2375,1,93.91917
347,2,2.4,6,0
348,0,1.9,17,167.8267
349,0,5.5,13,703.4067
350,0,2.16,0,0
351,2,7,31,1292.003
352,3,2.6,14,0
353,0,2.5,0,0
354,0,3.9,10,248.9058
355,0,5.2,6,71.53
356,1,3.25,5,347.9483
357,0,3.6,2,4.583333
358,0,10,28,831.7317
359,0,3.7,18,101.7633
360,0,4.467,5,424.1767
361,0,5.2,0,0
362,0,4.8,4,232.2758
363,0,1.5,24,335.5625
364,0,1.5,1,20.18083
365,0,1.8504,0,0
366,0,2.45,0,119
367,0,1.89,12,69.0325
368,0,3.5,13,131.6742
369,0,2.7885,0,0
370,0,4.5,13,523.125
371,4,2.8,7,0
372,3,2.8,11,0
373,0,4.5,2,391.4175
374,0,3.8,3,99.10333
375,0,5,0,0
376,0,2.7,0,379.2983
377,2,2.5,18,0
378,0,3.2,0,398.8508
379,0,1.92,21,34.09167
380,0,2.308,5,423.1267
381,0,1.7,0,0
382,0,3,3,241.4233
383,0,2.45,8,145.7192
384,0,3.4,0,0.9166667
385,0,2.5,9,512.0125
386,0,3,9,318.51
387,0,3.15,0,189.6842
388,0,3.5,0,194.4667
389,0,1.8,0,182.6092
390,0,2.25,9,297.0317
391,0,2,11,37.97417
392,0,4.1,14,395.585
393,0,2.97,7,204.5367
394,0,5.5,0,148.3725
395,0,3.15,9,170.4667
396,0,3.5,1,122.9292
397,0,1.5344,11,4.583333
398,0,5.1,10,430.6925
399,0,2.25,4,20.08333
400,0,3.41,6,17.785
401,0,3.7,0,376.6342
402,0,3.4,0,0
403,0,4.14,18,474.065
404,4,4.8,6,0
405,0,7,0,293.0658
406,0,7,5,631.9725
407,1,2.2,7,69.79333
408,0,2.06,12,0
409,0,1.536,3,0
410,3,4,12,0
411,0,10.5,16,8.75
412,0,3.05,10,127.4725
413,1,3.4838,7,182.0958
414,0,3,6,6.145833
415,0,5.1,0,412.1867
416,0,2.45,11,35.675
417,0,2,6,205.9358
418,0,4,13,43.97417
419,0,3.48,21,188.105
420,0,2,3,7.083333
421,0,2.15,12,484.4392
422,0,4.475,15,0
423,0,1.7,17,8.778334
424,0,3,11,174.925
425,0,2.3558,5,21.33333
426,0,4.5,11,360.995
427,0,3.7,7,114.6017
428,0,5.5,0,113.2958
429,0,3.374,9,33.5075
430,0,5.5,15,93.625
431,1,6,4,0
432,0,6.9,0,415.8058
433,0,2.75,3,875.8884
434,0,2.5,5,173.0233
435,0,2,13,7.416667
436,0,2.6875,12,165.93
437,0,2.6796,4,15.58333
438,0,1.8,2,178.9158
439,0,1.56,0,44.9425
440,0,1.5,3,149.5508
441,0,1.8804,5,3.75
442,2,2.52,9,0
443,0,2.2348,5,82.92084
444,0,1.78,0,0
1348,0,4.01,15,8.333333
446,0,12.4999,21,3099.505
447,0,1.6,8,300.4608
448,0,5,7,112.9167
449,0,2.275,6,94.145
450,0,3.4,7,215.4392
451,0,1.75,3,35.16833
452,0,3.25,6,22.4625
453,0,3.9,12,294.58
454,0,1.85,0,0
1386,0,4,9,10.29083
456,0,4.3,6,632.0808
457,0,3.5,7,326.5667
458,1,8.1,15,747.67
459,1,4,7,170.1808
460,1,2,5,1510.534
461,0,3,2,0
462,0,5.3,2,191.7017
463,7,2.6,11,0
464,0,2.52,0,188.1858
465,0,2.2,0,0
466,0,2.5,14,1096.657
467,0,3.5,13,276.9842
468,1,4.35,5,0
469,0,1.6,1,0
470,0,2,4,38.365
471,1,4.8,4,1482.368
472,0,3,4,45.87583
473,0,1.638,1,64.07417
474,2,2.9,21,0
475,0,2.3779,5,35.16667
476,0,2.3,3,129.4167
1368,0,8.1,13,663.7692
478,2,3.57,7,0
479,0,1.944,1,0
480,0,2.75,11,75.63417
481,0,3.5,7,3.75
482,0,7,8,301.2525
483,0,2.8,1,224.5817
484,0,1.95,0,60.58417
485,0,6.5,9,0
486,0,2.5,0,498.9267
487,1,3,9,8.333333
488,0,1.8,4,105.5075
489,0,2.6,9,56.33333
490,0,3.6,13,212.4783
491,0,2.3,0,14.33167
492,1,1.78,1,0
1364,0,3.86,8,0
494,0,4.9,4,58.93083
495,0,3.6,0,0
496,0,3.235,3,66.26417
497,2,1.85,12,0
1358,0,1.85,9,91.96417
499,0,1.56,0,215.8817
500,0,4.075,9,22.98667
501,5,3.3,23,0
502,0,2.51,12,240.38
503,0,4.375,1,89.955
504,0,2.35,2,126.6508
505,0,4,4,140.3467
506,2,5.1,8,0
1326,0,3,0,294.5592
508,0,3.5,12,68.35917
509,0,3.5,0,101.4942
510,0,5.5,0,1088.739
511,0,3.8,5,47.7875
512,0,1.79,0,50.02833
513,0,5.1,17,344.0067
514,0,8.94,17,188.295
515,0,7.1,0,245.3517
516,0,2.4,8,285.2825
517,1,3.305,12,17.58333
518,0,6.5,18,1569.677
519,0,4.81,9,43.74417
520,0,3,22,55.76083
521,0,2.7,11,97.5125
522,0,5.4,17,58.05416
523,0,8.124,5,213.1292
524,0,3.04,0,95.9975
525,1,2.08,11,61.19917
526,0,1.511,15,0
527,1,3,2,0
528,0,2.6,4,640.6533
529,0,2.5,4,61.73583
530,0,3.5,13,34.53167
531,0,2.4,10,213.2925
532,0,2.32,0,14
1391,0,2.58,15,164.6433
534,0,2.1,11,158.6067
535,0,2.35,8,133.9692
536,0,2.8,2,0
537,2,3.7,6,0
538,0,1.68,8,0
539,0,2.64,33,0
540,1,2.3,14,66.30083
541,2,6.888,18,58.50583
542,4,4,32,0
543,0,2,8,100.4167
544,0,1.97,2,0
545,0,3,11,25.5075
546,0,2.75,11,420.5808
547,0,5,12,309.91
548,0,2.1,0,78.25584
1384,0,4,0,123.2225
550,1,3,12,79.17583
551,0,3.3,0,431.1433
552,3,2.35,15,0
553,2,2.16,5,0
554,0,3.9,6,134.3858
555,0,2.3115,9,54.96917
556,0,1.7,6,0
557,0,2,4,120.5592
1383,0,4.8,2,320.4867
559,0,3,3,1352.488
560,0,1.56,5,87.14917
561,0,2,9,81.265
562,0,2.6,11,643.3233
563,0,4.68,6,134.9183
564,0,4,6,860.755
565,0,1.8744,4,85.97833
566,3,3.1,15,463.1517
567,0,2.8,3,134.2008
568,0,2.04,5,192.7208
569,0,2.1,5,562.3592
570,0,2,7,274.9467
571,0,5.6,4,398.0475
572,0,3,11,124.4758
573,0,2.4,0,163.4175
574,0,1.85,1,93.31
575,0,2.9,3,113.2492
576,0,2,2,0
577,0,1.89,6,37.42916
578,0,2,7,341.245
579,0,1.6417,9,508.2908
580,4,2.34,6,0
581,0,1.9,6,432.3592
582,0,1.53,11,46.29167
583,0,3.9946,2,253.6292
584,0,1.6,11,61.7425
585,0,1.8,0,125.8917
586,1,3.7,7,1836.976
587,0,2.1,5,15.58333
588,0,2,1,51.75
589,1,2.6,1,0
1399,0,2.675,0,77.28667
591,1,4.16,15,0
592,0,2.1,5,240.4842
593,0,2.4,4,67.39833
594,0,3.12,5,69.27333
595,0,3,13,172.5717
596,0,3.115,11,199.0042
597,3,1.6213,4,0
598,0,4.3681,10,160.4792
599,0,2.534,3,0
600,2,3.1,5,0
601,7,2.7161,10,0
602,0,4.04,6,44.41333
603,0,2.7495,11,492.2558
604,0,3,2,401.93
605,0,3.15,9,179.1783
606,0,5.97,19,0
607,0,2.6,0,182.1675
608,0,8.4,0,0
609,0,1.95,4,61.9525
610,0,3,4,80.82584
611,0,2.8,3,8.333333
612,1,4.55,10,169.0575
613,0,1.99,5,57.98083
1374,0,4.5,0,203.1333
615,0,4,1,0
616,0,3.5,0,181.015
617,1,2.15,1,0
618,0,1.62,7,0
619,0,3.5,0,483.0608
1319,0,2.9,3,15.94083
621,0,3.4064,7,180.655
622,0,4,4,4.583333
623,0,2.6,7,1902
624,0,2.0676,17,356.7817
1372,0,2.4,11,0
626,0,3.42,0,24.575
627,0,6.7,6,302.2467
628,0,5.43,11,33.215
629,0,1.62,4,13.68583
630,0,2.4192,7,116.3525
1337,0,3.4,8,144.3975
1396,0,3.6,12,113.75
633,0,2.5,8,184.9433
634,0,1.75,3,15.3325
635,0,2.5,5,113.1808
636,0,4.5,3,37.58333
637,1,2.466,20,0
638,0,2.7,10,156.9
639,0,2.4,2,0
640,0,6.9,0,349.2017
641,0,4.8,17,615.1208
642,0,1.92,6,208.0833
643,0,2.8,0,88.73917
644,0,1.6949,16,34.52083
645,0,3.5,0,366.745
646,1,2.25,10,44
1360,2,2.315,8,0
648,0,4,6,299.8858
649,0,4.5,0,359.1225
650,0,3.1782,3,246.5708
651,0,3,0,63.99166
652,0,3,12,51.645
653,0,2,6,0
654,0,3.5,17,633.4133
655,0,4,4,242.1283
656,0,2.58,11,0
657,0,11.9999,6,200.4933
658,1,3.7,5,32.46416
659,0,1.434,6,0
660,0,3.68,11,59.61917
661,0,2.55,0,0
662,4,3.5,9,0
663,0,2.3,4,315.2017
1397,0,3.1894,11,258.2908
665,0,2.35,11,0
666,4,1.97,6,0
667,0,3.6,10,457.4875
668,1,3.2,6,0
669,0,2,6,4.583333
670,0,2.85,11,745.0383
671,0,3.095,23,180.1775
672,0,1.5,19,111.8392
673,0,4.8,4,613.6425
674,0,2.6,0,333.6117
1361,0,2.85,8,207.7133
676,0,3.35,2,199.3692
677,0,1.8142,22,81.435
678,0,3.6,8,116.315
679,0,1.515,0,0
680,0,2.4,13,530.18
681,0,3,2,0
682,7,3.5,7,0
683,0,3,8,116.4492
684,0,2.34,11,357.5908
685,0,2.1,17,214.86
686,0,1.6,3,200.5867
687,0,2.216,2,56.46333
688,0,3.65,17,17.66667
689,6,3.2,7,0
690,0,2.6,0,0
691,1,6.1,14,479.4367
692,2,3,16,0
693,0,4.5,16,308.925
694,0,2.184,14,144.6417
695,0,3.25,13,0
696,0,2.2,9,244.6533
697,0,2.8065,10,38.83333
698,0,2.4304,17,462.6558
699,0,6.7,13,214.9342
700,1,4,7,0
701,0,5.16,1,0
702,0,5.1,15,244.4233
703,0,4.2,2,135.1842
704,0,5.6,8,185.7383
705,0,1.86,4,413.5975
706,0,1.64,0,0
707,0,6.8,5,14.66667
708,0,1.8468,4,16.91333
1355,0,1.8,0,0
710,1,3,16,0
711,0,2.2,0,20.33333
712,1,1.8,2,0
713,0,2.6,21,5.583333
714,0,2,4,0
715,0,5,0,238.365
716,0,4.22,3,300.9942
717,0,4.0188,3,552.3417
718,0,3,8,113.5892
719,0,3.1532,3,99.91666
720,0,2.8,8,147.3333
721,0,2.86,1,480.3233
722,0,2.04,9,304.895
723,0,3.5,8,63.45667
724,0,7.125,8,149.7
725,0,2.5,0,0
726,0,3.3,5,166.0592
727,0,2.2,4,148.19
728,1,3.2,12,121.2208
729,0,4,4,160.0283
730,0,5.5689,7,201.4825
731,0,7,5,59.11917
732,1,2.3,3,0
733,0,5.5,0,356.8792
734,1,2.5,3,159.1958
735,1,2.5,8,0
736,0,8,0,112.8783
737,0,1.83,10,108.9775
738,0,2.9,3,91.6875
739,3,4.7,8,0
740,2,1.725,5,0
741,0,1.5548,0,0
742,0,3.82,2,462.0208
1398,0,2.4,2,138.5692
744,0,2.4,1,373.4167
745,0,3,5,304.6225
746,0,1.6,3,385.775
747,0,2.68,0,319.43
748,0,6.3,7,465.9383
1347,0,1.6,2,59.78667
750,0,2.6,3,170.4625
751,0,2.1,7,242.195
752,1,1.9324,4,0
753,0,2.5,4,478.7125
754,1,1.8,2,0
755,0,3.56,9,98.345
756,0,3.4,7,301.0175
757,0,2.55,3,509.0542
758,0,4.92,14,183.8983
759,0,3.9,13,46.52333
760,0,5.2,0,256.1867
761,0,9,6,470.9733
762,0,6,0,2291.174
763,0,7.5,12,128.4267
764,0,9,7,1949.862
765,0,2.1,6,269.1533
766,0,3,3,41.48167
767,0,2.6,5,79.36083
768,0,5.48,4,612.8633
769,0,8.2,15,192.4508
770,1,2.5,3,327.7367
771,0,3,0,177.6158
772,0,6.5,0,365.9058
773,1,7.572,18,41.33333
1367,1,2,2,86.14833
775,3,3.25,7,0
776,2,3,4,0
777,0,7,2,376.765
778,7,7.5,8,0
779,0,3.8,6,189.1767
780,0,3.7,6,260.1208
781,0,3.4,7,406.9792
782,1,2.85,7,0
783,0,2.6,4,118.7217
784,0,1.566,1,91.7325
785,0,1.8,5,200.2375
786,0,3.1,3,438.3667
787,0,1.5,1,0
788,1,2.19,2,621.66
789,0,5.5,7,324.705
790,0,4.4,8,148.0592
791,0,3,4,940.3925
792,1,2.95,5,325.85
793,0,1.6,5,30.54833
794,0,2,8,192.8183
795,0,2.8542,3,324.0275
796,0,2.2,8,91.98917
797,0,3.65,17,267.3483
798,9,1.7,10,0
799,0,1.65,3,12.25
800,0,2.66,0,98.57916
801,0,2.75,9,43.20667
802,0,1.56,3,60.06667
803,1,8,7,0
804,0,2.0272,1,187.1425
805,0,4,8,29.975
806,0,6.7,0,445.8058
807,0,2.5,9,374.0517
808,0,3,3,0
809,0,3.2,6,121.0558
810,0,3.18,0,240.8208
811,0,3.2,9,82.3425
812,1,1.7305,10,131.5242
813,0,2.4,18,215.7392
814,1,2.25,13,0
1325,0,3.9495,0,517.2117
816,0,3,2,36.205
817,0,2.65,0,159.655
818,5,2.236,11,0
819,0,4.7,10,247.2992
1341,0,3.48,22,21.715
821,0,2.55,0,16.25
822,1,2.77,14,100.3367
823,0,3.1131,16,64.75584
824,0,1.968,1,103.9167
825,1,1.8,8,288.8017
826,1,9.4,2,0
827,0,5.5,2,58.60833
828,0,1.5,0,0
829,0,2.7,4,387.1742
830,0,2.35,9,136.0408
831,0,4.6,1,105.325
832,0,10.9999,0,97.42416
833,0,2.6545,1,229.4933
834,1,7.35,14,436.275
835,0,3.2,0,45.12417
836,0,6.2,9,355.9683
837,1,3.27,3,650.4375
838,2,3.7,11,442.4458
839,0,1.75,1,310.8417
840,0,2.425,1,0
841,1,2.7,1,0
842,0,3.7,2,426.8325
843,0,3.2,1,36.25
844,0,3.1,3,337.0583
845,0,9,0,0
846,3,5.5,11,1010.502
847,0,4.1,0,0
848,0,3,2,568.2433
849,0,2.8,3,461.9217
850,0,5.1,4,140.015
851,0,7,3,206.3817
1350,0,2.304,2,719.5059
853,0,2.3,6,383.3117
854,1,1.9,4,0
855,0,2.3,3,265.6517
856,1,1.5,4,0
857,0,2.375,1,282.7258
858,0,2.8,6,383.5667
859,0,2.5224,3,494.8875
860,0,2.2,2,12.65083
861,0,3.2,1,317.4642
862,0,3.7,8,9.741667
863,0,1.8,2,49.41667
864,2,2.35,4,0
865,0,1.82,2,821.8208
866,0,5.5,4,323.9517
867,12,2.6,14,0
868,0,2.15,0,476.3158
869,0,3.8,4,112.9942
870,0,2,3,44.46333
871,2,2.45,15,248.5058
872,1,3.5,5,319.7925
873,0,2.8,7,758.9391
874,1,1.99,8,412.9933
875,0,2,0,0
876,0,2.1,5,131.9892
877,0,2.79,5,52.48917
878,0,2.32,8,225.2692
879,0,4.6,5,298.0233
880,1,2,7,0
881,0,3,1,173.4675
882,0,3.328,3,79.685
883,0,2.4752,10,138.5467
884,0,4.3,11,565.3292
885,0,1.77,1,0
1344,1,2.45,13,220.8942
887,0,1.85,2,527.9417
888,0,2.23,1,104.7833
889,0,2.5,0,0
890,3,3.5091,9,466.3475
891,0,3.2875,12,88.8175
892,0,4.232,5,437.1342
893,1,1.85,2,0
1338,0,2.2,10,114.2533
895,0,3.5,0,0
896,0,3,0,293.0417
897,0,1.8,2,683.9883
898,0,1.7,8,113.0992
899,0,5.5,3,288.3633
900,0,2.5685,3,111.675
901,2,3.5,5,0
902,0,2.5,2,151.3367
903,0,3.3026,4,4.583333
904,0,2.25,0,199.795
905,1,10,4,308.25
906,0,2.9,0,193.2933
907,2,2.95,3,0
908,0,1.6,0,0
909,0,3.4,4,59.85417
910,4,2.1,10,0
911,0,3.2,2,313.4333
912,0,3.5,2,0
913,0,2.47,2,195.0233
914,0,2.6,6,162.4458
915,2,4.0248,4,0
916,0,2.1,4,314.4908
917,0,1.95,10,292.9483
918,0,3.5995,0,0
919,2,3.7,3,0
920,0,3,1,533.6275
921,0,4.5,4,343.6542
922,11,2.3,12,0
923,0,3.5,2,397.0333
924,0,2.1,5,71.66666
925,0,5,19,503.5475
926,0,2.45,0,142.5142
927,0,3.5,9,8.333333
928,0,2.5,1,487.4817
929,11,3.6,16,0
930,0,2.656,0,352.8483
931,0,2.5,0,0
932,0,2,0,0
933,0,3.52,3,61.16667
934,1,1.8769,3,553.1067
1390,0,2.25,1,59.08916
936,0,1.7123,0,132.4717
937,0,4,5,89.82667
938,0,2.16,2,36.33333
939,2,3.3,14,108.9767
940,0,7,5,64.56
941,0,2.1,8,192.64
942,0,3,7,131.7658
943,1,3.5,11,203.8917
944,0,2.07,0,0
945,0,2.8,0,390.1667
946,0,5,7,0
947,0,2.1888,7,270.3683
948,14,2,15,0
949,1,2.7,3,0
1322,0,2.69,0,352.1733
951,1,3.73,7,179.7708
952,0,2,2,156.0892
953,0,4.3,9,57.91583
954,0,5.5,9,205.5133
955,0,5.92,7,149.2992
956,1,7.6,11,310.7358
957,0,2.82,1,97.94
958,0,2.2,1,127.1183
959,0,2.6611,8,220.7925
960,3,7.5,7,0
961,0,4,4,854.785
962,0,6.5,6,602.9208
963,0,5.6,7,436.2592
964,0,2.1,2,0
965,0,4.5,0,67.0975
966,0,2.51,0,94.26833
967,2,10.032,15,84.39083
968,0,3.5,3,175.4442
969,0,3.5,3,132.1292
970,0,3.9,0,305.8375
971,0,2.5,1,440.6908
1387,0,5.2,11,634.8625
973,0,1.5,0,0
974,0,9.9999,12,92.44167
975,0,4.1,15,286.57
976,0,2.2,6,121.0308
977,0,4.38,6,136.1242
978,5,2.4852,10,0
979,1,6.6,14,510.09
980,1,2.74,8,42.31083
981,1,2.7,8,6.416667
982,0,3.2618,0,7.083333
983,0,5.8,6,159.73
984,0,2.5,0,124.5033
985,0,3.5,2,1028.961
986,0,1.5,0,0
1329,0,1.75,0,0
988,5,4.4,15,0
989,0,4.7,2,71.95917
990,0,3.3,0,111.6175
991,0,5.8,16,386.0525
992,1,5.32,7,0
993,0,2.4,9,62.50833
994,0,3.25,6,159.36
995,0,3.06,0,434.8775
996,0,3,9,40.3275
